Metric, Avg. organic traffic, Organic pages, Organic traffic: Non-branded, Organic positions by intent: Informational, Organic positions by intent: Navigational, Organic positions by intent: Commercial, Organic positions by intent: Transactional, Organic positions by intent: Branded, Organic positions by intent: Local, Organic entities (positions): GL Homes, Organic entities (positions): DiVosta, Organic entities (positions): The Landing of Lake Worth, Organic entities (positions): Boca Delray Golf & Country Club, Organic entities (positions): DiVosta Homes
2021-12-06, 1, 16, 0, 101, 0, 78, 17, 34, 99, 2, 0, 0, 1, 0
2021-12-13, 2, 16, 0, 113, 0, 88, 21, 34, 110, 2, 0, 0, 1, 0
2021-12-20, 3, 15, 0, 116, 0, 93, 24, 31, 113, 2, 0, 0, 1, 0
2021-12-27, 5, 15, 1, 124, 0, 98, 28, 34, 120, 2, 0, 0, 1, 0
2022-01-03, 5, 15, 1, 142, 0, 115, 37, 40, 137, 2, 0, 0, 1, 0
2022-01-10, 5, 16, 1, 156, 0, 125, 42, 46, 150, 2, 0, 0, 1, 0
2022-01-17, 6, 16, 1, 167, 0, 128, 41, 52, 161, 2, 0, 0, 1, 0
2022-01-24, 6, 16, 0, 175, 0, 135, 45, 56, 169, 1, 0, 0, 1, 0
2022-01-31, 6, 17, 1, 181, 0, 140, 47, 58, 175, 1, 0, 0, 1, 0
2022-02-07, 6, 18, 1, 183, 0, 142, 47, 57, 177, 1, 0, 0, 1, 0
2022-02-14, 10, 20, 5, 192, 0, 148, 46, 58, 186, 0, 0, 0, 1, 0
2022-02-21, 7, 19, 2, 204, 0, 160, 51, 57, 198, 0, 0, 0, 1, 0
2022-02-28, 6, 21, 2, 236, 0, 188, 60, 56, 231, 0, 0, 0, 1, 0
2022-03-07, 6, 23, 2, 270, 0, 222, 76, 60, 265, 0, 0, 0, 1, 0
2022-03-14, 7, 23, 2, 299, 0, 245, 92, 60, 293, 0, 0, 0, 1, 0
2022-03-21, 7, 24, 2, 335, 0, 279, 108, 64, 328, 0, 0, 0, 2, 0
2022-03-28, 10, 29, 1, 364, 0, 306, 119, 71, 357, 0, 0, 0, 2, 0
2022-04-04, 11, 28, 2, 388, 0, 326, 127, 77, 382, 0, 0, 0, 2, 0
2022-04-11, 13, 29, 3, 399, 0, 337, 136, 80, 394, 0, 0, 0, 2, 0
2022-04-18, 13, 30, 4, 403, 0, 340, 140, 80, 400, 0, 0, 0, 2, 0
2022-04-25, 12, 32, 3, 397, 0, 336, 140, 76, 395, 0, 0, 0, 2, 0
2022-05-02, 13, 33, 4, 377, 0, 321, 133, 73, 377, 0, 0, 0, 2, 0
2022-05-09, 13, 32, 4, 379, 0, 323, 130, 72, 378, 0, 0, 0, 2, 0
2022-05-16, 14, 39, 4, 426, 0, 365, 145, 77, 423, 0, 0, 0, 2, 0
2022-05-23, 15, 37, 4, 479, 0, 417, 170, 81, 477, 0, 0, 0, 2, 0
2022-05-30, 13, 39, 4, 442, 0, 380, 153, 74, 438, 0, 0, 0, 2, 0
2022-06-06, 13, 39, 3, 380, 0, 325, 126, 67, 376, 0, 0, 0, 2, 0
2022-06-13, 10, 41, 2, 280, 0, 230, 92, 58, 274, 0, 0, 0, 2, 0
2022-06-20, 7, 39, 1, 183, 0, 139, 57, 54, 176, 0, 0, 0, 2, 0
2022-06-27, 6, 35, 1, 165, 0, 127, 55, 49, 160, 0, 0, 0, 2, 0
2022-07-04, 6, 33, 1, 170, 0, 133, 59, 50, 165, 0, 0, 0, 2, 0
2022-07-11, 6, 34, 1, 168, 0, 135, 61, 48, 165, 0, 0, 0, 2, 0
2022-07-18, 6, 34, 1, 157, 0, 126, 55, 45, 155, 1, 0, 0, 2, 0
2022-07-25, 6, 31, 1, 145, 0, 118, 46, 44, 144, 1, 0, 0, 2, 0
2022-08-01, 9, 29, 1, 137, 0, 114, 40, 44, 136, 1, 0, 0, 2, 0
2022-08-08, 10, 34, 1, 158, 0, 133, 47, 51, 158, 1, 0, 0, 2, 0
2022-08-15, 11, 35, 1, 164, 0, 137, 52, 51, 164, 1, 0, 0, 2, 0
2022-08-22, 10, 39, 1, 175, 0, 146, 53, 51, 175, 0, 0, 0, 1, 0
2022-08-29, 7, 40, 1, 180, 0, 145, 53, 54, 179, 0, 0, 0, 1, 0
2022-09-05, 7, 41, 1, 171, 0, 135, 50, 52, 170, 0, 0, 0, 1, 0
2022-09-12, 7, 42, 1, 173, 0, 139, 49, 49, 172, 0, 0, 0, 1, 0
2022-09-19, 9, 41, 1, 192, 0, 156, 53, 49, 190, 0, 0, 0, 2, 0
2022-09-26, 11, 39, 1, 212, 0, 178, 63, 49, 210, 0, 0, 0, 2, 0
2022-10-03, 11, 35, 1, 228, 0, 197, 72, 51, 227, 0, 0, 0, 2, 0
2022-10-10, 11, 35, 1, 234, 0, 203, 74, 54, 233, 0, 0, 0, 2, 0
2022-10-17, 11, 34, 2, 242, 0, 211, 78, 56, 241, 0, 0, 0, 2, 0
2022-10-24, 16, 34, 4, 263, 0, 230, 85, 60, 261, 0, 0, 0, 2, 0
2022-10-31, 20, 35, 8, 292, 0, 253, 94, 67, 290, 0, 0, 0, 2, 0
2022-11-07, 20, 36, 8, 329, 0, 285, 111, 70, 325, 0, 0, 0, 2, 0
2022-11-14, 21, 36, 9, 358, 0, 309, 124, 73, 355, 0, 0, 0, 2, 0
2022-11-21, 21, 37, 9, 366, 0, 315, 129, 72, 364, 0, 0, 0, 2, 0
2022-11-28, 21, 38, 8, 370, 0, 320, 129, 72, 369, 0, 0, 0, 2, 0
2022-12-05, 21, 37, 9, 357, 0, 308, 123, 68, 356, 0, 0, 0, 2, 0
2022-12-12, 14, 38, 7, 315, 0, 267, 103, 65, 313, 0, 0, 0, 2, 0
2022-12-19, 12, 37, 6, 273, 0, 229, 79, 61, 270, 0, 0, 0, 2, 0
2022-12-26, 11, 37, 5, 250, 0, 208, 69, 58, 247, 0, 0, 0, 2, 0
2023-01-02, 9, 35, 3, 211, 0, 171, 53, 61, 209, 0, 0, 0, 2, 0
2023-01-09, 9, 30, 3, 200, 0, 161, 51, 61, 199, 0, 0, 0, 2, 0
2023-01-16, 10, 30, 3, 200, 0, 163, 52, 60, 199, 0, 0, 0, 2, 0
2023-01-23, 9, 29, 2, 195, 0, 158, 51, 58, 194, 0, 0, 0, 2, 0
2023-01-30, 10, 29, 3, 183, 0, 147, 47, 55, 182, 0, 0, 0, 2, 0
2023-02-06, 8, 29, 3, 174, 0, 140, 48, 52, 173, 0, 0, 0, 2, 0
2023-02-13, 7, 30, 2, 166, 0, 133, 46, 52, 166, 1, 0, 0, 2, 0
2023-02-20, 7, 35, 2, 175, 0, 140, 48, 57, 174, 1, 0, 0, 2, 0
2023-02-27, 7, 35, 2, 175, 0, 141, 46, 57, 173, 1, 0, 0, 2, 0
2023-03-06, 7, 35, 1, 172, 0, 136, 47, 57, 170, 1, 0, 0, 2, 0
2023-03-13, 8, 38, 2, 173, 0, 138, 45, 57, 172, 1, 0, 0, 2, 0
2023-03-20, 9, 38, 2, 180, 0, 146, 46, 58, 179, 0, 0, 0, 2, 0
2023-03-27, 8, 37, 1, 186, 0, 153, 49, 59, 186, 0, 1, 0, 2, 0
2023-04-03, 8, 37, 1, 189, 0, 157, 52, 58, 189, 0, 1, 0, 2, 0
2023-04-10, 8, 37, 1, 194, 0, 163, 55, 58, 194, 0, 1, 0, 2, 0
2023-04-17, 8, 38, 1, 187, 0, 161, 54, 57, 185, 0, 1, 0, 2, 0
2023-04-24, 8, 39, 1, 182, 0, 157, 51, 56, 180, 0, 1, 0, 2, 0
2023-05-01, 7, 40, 1, 178, 0, 152, 44, 56, 176, 0, 1, 0, 2, 0
2023-05-08, 6, 38, 1, 169, 0, 142, 41, 52, 167, 0, 1, 0, 2, 0
2023-05-15, 4, 38, 1, 163, 0, 136, 41, 50, 163, 0, 1, 0, 2, 0
2023-05-22, 4, 36, 1, 157, 0, 131, 40, 50, 157, 0, 1, 0, 2, 0
2023-05-29, 6, 39, 1, 156, 0, 127, 40, 48, 155, 0, 1, 0, 2, 0
2023-06-05, 6, 41, 1, 162, 0, 126, 37, 49, 161, 0, 1, 0, 2, 0
2023-06-12, 7, 43, 2, 204, 0, 158, 52, 54, 203, 0, 1, 0, 2, 0
2023-06-19, 9, 60, 2, 277, 0, 219, 77, 64, 275, 0, 1, 0, 3, 0
2023-06-26, 9, 73, 3, 330, 0, 260, 87, 62, 328, 0, 1, 0, 3, 0
2023-07-03, 14, 76, 7, 382, 0, 302, 95, 62, 380, 0, 1, 0, 3, 0
2023-07-10, 17, 77, 8, 414, 0, 329, 98, 62, 412, 0, 1, 0, 3, 0
2023-07-17, 17, 79, 8, 414, 0, 334, 98, 65, 412, 0, 2, 0, 3, 0
2023-07-24, 24, 74, 16, 392, 0, 318, 100, 70, 390, 0, 3, 0, 3, 0
2023-07-31, 27, 74, 20, 403, 0, 322, 106, 78, 399, 0, 3, 0, 3, 0
2023-08-07, 29, 67, 23, 422, 1, 330, 108, 87, 415, 0, 3, 0, 3, 1
2023-08-14, 29, 69, 22, 438, 1, 340, 118, 95, 429, 0, 3, 0, 3, 1
2023-08-21, 26, 71, 22, 442, 1, 347, 120, 95, 433, 0, 3, 0, 3, 1
2023-08-28, 31, 70, 24, 431, 0, 348, 120, 89, 421, 0, 3, 0, 3, 1
2023-09-04, 31, 64, 24, 421, 0, 340, 116, 86, 410, 0, 3, 0, 3, 1
2023-09-11, 43, 57, 37, 447, 0, 361, 117, 83, 434, 0, 3, 0, 3, 1
2023-09-18, 36, 52, 29, 454, 0, 361, 109, 83, 440, 0, 3, 0, 3, 1
2023-09-25, 38, 51, 31, 453, 0, 363, 108, 82, 440, 0, 3, 0, 3, 1
2023-10-02, 38, 53, 31, 456, 0, 364, 104, 78, 444, 0, 2, 0, 3, 0
2023-10-09, 38, 54, 31, 446, 0, 362, 102, 75, 436, 0, 1, 0, 3, 0
2023-10-16, 39, 54, 30, 452, 0, 366, 100, 74, 443, 0, 0, 0, 3, 0
2023-10-23, 39, 52, 31, 452, 0, 366, 99, 72, 443, 0, 0, 0, 3, 0
2023-10-30, 39, 51, 30, 452, 0, 365, 97, 72, 443, 0, 0, 0, 3, 0
2023-11-06, 42, 49, 33, 463, 0, 378, 102, 72, 454, 0, 1, 0, 3, 1
2023-11-13, 45, 50, 36, 481, 0, 397, 108, 75, 472, 0, 1, 0, 3, 1
2023-11-20, 44, 54, 34, 521, 0, 436, 134, 78, 511, 0, 2, 0, 3, 1
2023-11-27, 42, 56, 33, 576, 0, 486, 162, 81, 564, 0, 3, 0, 3, 1
2023-12-04, 40, 54, 32, 617, 0, 521, 177, 84, 604, 0, 2, 0, 3, 1
2023-12-11, 42, 54, 34, 637, 0, 538, 184, 83, 624, 0, 2, 0, 3, 1
2023-12-18, 40, 55, 32, 626, 0, 527, 168, 81, 614, 0, 1, 0, 3, 1
2023-12-25, 37, 53, 30, 613, 0, 516, 162, 76, 603, 0, 1, 0, 3, 1
2024-01-01, 39, 55, 32, 596, 0, 501, 156, 74, 585, 0, 1, 0, 3, 1
2024-01-08, 40, 57, 33, 591, 0, 493, 152, 76, 578, 0, 1, 0, 3, 1
2024-01-15, 41, 68, 34, 624, 0, 522, 164, 78, 611, 0, 2, 0, 3, 1
2024-01-22, 42, 97, 35, 717, 0, 601, 195, 102, 700, 0, 2, 0, 3, 1
2024-01-29, 43, 150, 36, 852, 0, 713, 238, 130, 832, 0, 2, 0, 3, 2
2024-02-05, 44, 179, 38, 1065, 1, 877, 303, 169, 1038, 1, 3, 0, 3, 2
2024-02-12, 46, 206, 40, 1234, 2, 1011, 342, 208, 1198, 1, 3, 0, 3, 2
2024-02-19, 50, 210, 44, 1265, 2, 1031, 348, 216, 1228, 1, 3, 0, 3, 2
2024-02-26, 49, 216, 42, 1296, 2, 1053, 369, 219, 1255, 1, 3, 0, 3, 2
2024-03-04, 51, 225, 44, 1306, 1, 1077, 384, 219, 1263, 1, 3, 0, 3, 2
2024-03-11, 50, 223, 43, 1270, 2, 1062, 377, 228, 1225, 3, 3, 0, 2, 2
2024-03-18, 66, 213, 59, 1331, 4, 1112, 397, 247, 1280, 4, 3, 0, 2, 1
2024-03-25, 77, 217, 68, 1396, 4, 1165, 406, 266, 1343, 5, 2, 0, 2, 1
2024-04-01, 84, 234, 75, 1446, 4, 1207, 414, 276, 1392, 5, 2, 0, 2, 1
2024-04-08, 94, 242, 85, 1442, 3, 1200, 398, 289, 1383, 5, 3, 0, 2, 1
2024-04-15, 101, 255, 89, 1455, 3, 1212, 398, 299, 1390, 5, 3, 0, 1, 1
2024-04-22, 107, 255, 94, 1408, 3, 1174, 382, 293, 1345, 5, 3, 0, 1, 1
2024-04-29, 107, 247, 94, 1353, 3, 1128, 374, 277, 1288, 5, 3, 0, 2, 1
2024-05-06, 105, 237, 93, 1343, 3, 1121, 378, 270, 1277, 5, 3, 0, 2, 1
2024-05-13, 108, 230, 98, 1281, 2, 1063, 358, 258, 1215, 4, 3, 0, 2, 1
2024-05-20, 114, 214, 104, 1187, 2, 988, 333, 235, 1120, 5, 3, 0, 2, 1
2024-05-27, 116, 214, 105, 1113, 2, 927, 309, 215, 1055, 5, 3, 0, 1, 1
2024-06-03, 118, 204, 104, 1042, 1, 873, 282, 212, 994, 4, 3, 0, 1, 1
2024-06-10, 129, 194, 113, 979, 2, 813, 259, 208, 933, 1, 3, 0, 1, 1
2024-06-17, 133, 188, 118, 992, 2, 827, 269, 220, 945, 1, 3, 0, 1, 1
2024-06-24, 158, 175, 142, 1013, 2, 842, 270, 226, 960, 1, 3, 0, 2, 1
2024-07-01, 158, 157, 141, 1026, 2, 852, 277, 227, 975, 0, 3, 0, 2, 1
2024-07-08, 162, 167, 143, 1042, 2, 860, 278, 240, 993, 0, 3, 4, 2, 1
2024-07-15, 179, 170, 158, 1083, 3, 887, 283, 245, 1028, 0, 3, 4, 3, 1
2024-07-22, 185, 179, 163, 1124, 3, 916, 289, 248, 1066, 0, 3, 5, 3, 1
2024-07-29, 203, 178, 179, 1152, 3, 929, 292, 250, 1088, 0, 3, 5, 2, 1
2024-08-05, 218, 210, 187, 1210, 2, 962, 303, 261, 1141, 0, 3, 5, 2, 1
2024-08-12, 208, 221, 167, 1347, 3, 1045, 328, 301, 1274, 0, 3, 5, 2, 1
2024-08-19, 204, 217, 160, 1468, 3, 1129, 351, 326, 1390, 0, 3, 5, 2, 1
2024-08-26, 209, 236, 163, 1593, 3, 1226, 392, 338, 1521, 0, 3, 3, 3, 1
2024-09-02, 240, 235, 190, 1639, 3, 1265, 420, 348, 1566, 0, 2, 2, 3, 1
2024-09-09, 232, 231, 182, 1666, 3, 1288, 432, 357, 1589, 0, 2, 2, 3, 1
2024-09-16, 220, 235, 174, 1656, 3, 1291, 426, 345, 1573, 0, 2, 3, 3, 2
2024-09-23, 226, 232, 183, 1667, 4, 1292, 412, 341, 1583, 0, 2, 3, 3, 2
2024-09-30, 245, 225, 198, 1690, 5, 1310, 416, 339, 1605, 0, 3, 3, 3, 2
2024-10-07, 251, 212, 201, 1731, 4, 1316, 413, 354, 1637, 0, 4, 4, 3, 2
2024-10-14, 252, 211, 194, 1756, 2, 1319, 414, 361, 1658, 0, 4, 4, 3, 2
2024-10-21, 234, 220, 179, 1740, 3, 1283, 406, 352, 1641, 0, 3, 4, 3, 2
2024-10-28, 220, 222, 168, 1746, 3, 1276, 417, 359, 1648, 0, 3, 5, 3, 2
2024-11-04, 212, 208, 168, 1798, 2, 1317, 442, 376, 1690, 0, 3, 4, 3, 2
2024-11-11, 209, 192, 164, 1907, 2, 1401, 480, 391, 1789, 0, 3, 4, 3, 2
2024-11-18, 212, 195, 165, 1940, 2, 1415, 488, 392, 1821, 0, 4, 5, 3, 2
2024-11-25, 213, 189, 164, 1919, 2, 1387, 473, 372, 1813, 0, 4, 5, 3, 2
2024-12-02, 200, 182, 154, 1853, 3, 1340, 437, 357, 1754, 0, 4, 4, 3, 2
2024-12-09, 206, 171, 163, 1789, 4, 1309, 418, 348, 1695, 0, 4, 2, 3, 2
2024-12-16, 216, 157, 170, 1677, 4, 1243, 408, 312, 1590, 0, 4, 2, 3, 2
2024-12-23, 214, 156, 164, 1592, 3, 1187, 405, 288, 1511, 1, 4, 3, 3, 2
2024-12-30, 224, 157, 172, 1578, 3, 1175, 411, 276, 1497, 1, 4, 5, 3, 2
2025-01-06, 230, 153, 176, 1618, 3, 1208, 416, 294, 1534, 3, 4, 4, 3, 2
2025-01-13, 251, 149, 197, 1513, 3, 1131, 393, 271, 1440, 4, 4, 2, 3, 2
2025-01-20, 237, 148, 185, 1391, 3, 1039, 367, 243, 1324, 3, 4, 2, 3, 2
2025-01-27, 201, 139, 156, 1173, 2, 873, 319, 193, 1117, 2, 4, 0, 3, 2
2025-02-03, 201, 134, 150, 1057, 0, 781, 294, 169, 1002, 1, 4, 1, 3, 2
2025-02-10, 185, 127, 134, 1027, 0, 752, 283, 164, 974, 1, 4, 1, 3, 1
2025-02-17, 212, 131, 141, 1028, 0, 747, 281, 161, 973, 1, 4, 1, 3, 1
2025-02-24, 265, 135, 156, 1032, 1, 756, 282, 161, 975, 1, 4, 1, 3, 1
2025-03-03, 313, 140, 196, 1044, 1, 772, 283, 160, 989, 0, 4, 1, 3, 1
2025-03-10, 341, 146, 217, 1056, 1, 787, 287, 164, 1001, 0, 4, 1, 3, 1
2025-03-17, 353, 144, 220, 1037, 1, 770, 278, 161, 979, 0, 5, 1, 3, 1
2025-03-24, 344, 147, 208, 1027, 1, 764, 279, 166, 970, 0, 5, 1, 3, 1
2025-03-31, 335, 142, 201, 1014, 1, 757, 276, 167, 957, 0, 4, 1, 3, 1
2025-04-07, 341, 142, 209, 1024, 1, 770, 278, 168, 972, 0, 4, 1, 3, 3
2025-04-14, 354, 140, 216, 1045, 1, 779, 274, 172, 991, 0, 4, 1, 2, 3
2025-04-21, 349, 139, 208, 1050, 1, 779, 271, 173, 994, 0, 4, 1, 2, 3
2025-04-28, 337, 142, 203, 1050, 1, 778, 275, 173, 994, 0, 4, 1, 2, 2
2025-05-05, 342, 150, 209, 1085, 1, 814, 291, 177, 1034, 1, 4, 1, 2, 2
2025-05-12, 339, 152, 208, 1098, 0, 829, 304, 179, 1046, 2, 5, 1, 2, 2
2025-05-19, 348, 154, 216, 1082, 1, 819, 303, 172, 1028, 2, 5, 2, 2, 2
2025-05-26, 374, 158, 240, 1094, 1, 829, 309, 182, 1036, 2, 5, 2, 3, 2
2025-06-02, 395, 167, 252, 1113, 1, 845, 306, 201, 1050, 2, 5, 2, 3, 4
2025-06-09, 420, 191, 280, 1135, 1, 864, 305, 214, 1072, 1, 5, 2, 3, 4
2025-06-16, 409, 190, 277, 1147, 1, 865, 294, 232, 1086, 1, 5, 3, 3, 4
2025-06-23, 400, 195, 268, 1151, 0, 868, 288, 239, 1089, 3, 5, 4, 3, 4
2025-06-30, 409, 208, 274, 1206, 0, 910, 305, 246, 1139, 4, 5, 4, 3, 4
2025-07-07, 464, 215, 313, 1309, 1, 996, 347, 250, 1239, 5, 5, 4, 3, 4
2025-07-14, 552, 210, 390, 1402, 2, 1071, 382, 260, 1319, 6, 6, 4, 3, 4
2025-07-21, 636, 204, 476, 1482, 2, 1132, 415, 266, 1391, 6, 6, 4, 3, 4
2025-07-28, 672, 194, 509, 1518, 3, 1164, 439, 262, 1427, 7, 6, 4, 3, 4
2025-08-04, 686, 196, 514, 1523, 2, 1163, 441, 261, 1432, 7, 6, 4, 3, 4
2025-08-11, 646, 189, 468, 1517, 2, 1151, 442, 261, 1427, 7, 6, 4, 3, 3
